"en","jp","category","type"
"Standard ammo fired from bows.","弓から発射される標準的な矢。","WEAPON","flavor"
"Finely crafted elven arrow with higher accuracy.","命中率に優れた精巧なエルフの矢。","WEAPON","flavor"
"Crude iron arrow used by orcs.","オークが使用する粗末な鉄の矢。","WEAPON","flavor"
"Silver burns evil entities on touch, dealing lethal extra damage.","銀は触れるだけで邪悪な存在を焼き灼き、致死的な追加ダメージを与える。","WEAPON","flavor"
"Heavy bamboo arrow fired from Yumi bows.","和弓から発射される重い竹の矢。","WEAPON","flavor"
"Heavy bolt fired from crossbows.","クロスボウから発射される重いボルト。","WEAPON","flavor"
"Small missile weapon easy to coat with poison.","毒を塗りやすい小型の投擲・暗器用ダガー。","WEAPON","flavor"
"Ninja throwing star suited for fast ranged attacks.","素早い遠距離攻撃に適した忍者の手裏剣。","WEAPON","flavor"
"Curved wooden missile that can return to hand.","投げても手元に戻ってくる湾曲した木製投擲武器。","WEAPON","flavor"
"Basic single-handed pole weapon.","基本的な片手用長柄武器。","WEAPON","flavor"
"Elven spear with superior balance.","優れたバランスを誇るエルフの槍。","WEAPON","flavor"
"Crude spear forged by orcs.","オークによって鍛えられた粗末な槍。","WEAPON","flavor"
"Heavy dwarvish spear.","頑丈で重いドワーフの槍。","WEAPON","flavor"
"Silver spear capable of skewering demonic & undead foes.","悪魔やアンデッドを貫く銀の槍。","WEAPON","flavor"
"Light throwing spear.","軽量な投擲用の槍（ジャベリン）。","WEAPON","flavor"
"Three-pronged spear dealing 3d4 damage against large aquatic beasts.","大型の水中水棲水獣に対して 3d4 ダメージを与える三叉の槍。","WEAPON","flavor"
"Versatile knife excellent for throwing or dual-wielding.","投擲や二刀流に優れた万能ナイフ。","WEAPON","flavor"
"Light elven dagger.","軽量なエルフのダガー。","WEAPON","flavor"
"Orcish dagger.","オークのダガー。","WEAPON","flavor"
"Lightweight silver weapon indispensable in Gehennom.","ゲヘノム（地獄）探索に不可欠な軽量の銀製武器。","WEAPON","flavor"
