id,source_type,file,line,caller_func,callee_func,layer,semantic_role,domain,literal_type,raw_format,placeholders_count,inferred_format
allmain.c:L54:You:0,c_source,allmain.c,54,moveloop_preamble,You,1,PLAYER_ACTION,allmain,literal,are lucky!  Full moon tonight.,0,
allmain.c:L57:pline:1,c_source,allmain.c,57,moveloop_preamble,pline,1,NARRATION_PLINE,allmain,literal,Be careful!  New moon tonight.,0,
allmain.c:L60:pline:2,c_source,allmain.c,60,moveloop_preamble,pline,1,NARRATION_PLINE,allmain,literal,Watch out!  Bad things can happen on Friday the 13th.,0,
allmain.c:L247:urgent_pline:3,c_source,allmain.c,247,moveloop_core,urgent_pline,1,NARRATION_URGENT,allmain,literal,The dungeon capitulates.,0,
allmain.c:L436:urgent_pline:4,c_source,allmain.c,436,moveloop_core,urgent_pline,1,NARRATION_URGENT,allmain,literal,The Amulet is bestowing a wish upon you!,0,
allmain.c:L672:You:5,c_source,allmain.c,672,stop_occupation,You,1,PLAYER_ACTION,allmain,literal,stop %s.,1,
allmain.c:L890:pline:6,c_source,allmain.c,890,welcome,pline,1,NARRATION_PLINE,allmain,literal,"You're back, but you still feel %s inside.",1,
allmain.c:L895:pline:7,c_source,allmain.c,895,welcome,pline,1,NARRATION_PLINE,allmain,literal,NetHack is filmed in front of an undead studio audience.,0,
allmain.c:L940:pline:8,c_source,allmain.c,940,welcome,pline,1,NARRATION_PLINE,allmain,conditional,"new_game ? ""%s %s, welcome to NetHack!  You are a%s.""                    : ""%s %s, the%s, welcome back to NetHack!""",0,
allmain.c:L992:Norep:9,c_source,allmain.c,992,interrupt_multi,Norep,1,NARRATION_NOREP,allmain,literal,%s,1,
apply.c:L80:pline:0,c_source,apply.c,80,use_camera,pline,1,NARRATION_PLINE,apply/tool,literal,Using your camera underwater would void the warranty.,0,
apply.c:L83:getdir:1,c_source,apply.c,83,use_camera,getdir,3,PROMPT_GETDIR,apply/tool,variable,(char *) 0,0,
apply.c:L96:You:2,c_source,apply.c,96,use_camera,You,1,PLAYER_ACTION,apply/tool,literal,take a picture of %s %s.,2,
apply.c:L98:You:3,c_source,apply.c,98,use_camera,You,1,PLAYER_ACTION,apply/tool,literal,take a picture of the %s.,1,
apply.c:L114:You:4,c_source,apply.c,114,use_towel,You,1,PLAYER_ACTION,apply/tool,literal,have no free %s!,1,
apply.c:L119:You:5,c_source,apply.c,119,use_towel,You,1,PLAYER_ACTION,apply/tool,literal,cannot use it while you're wearing it!,0,
apply.c:L128:Your:6,c_source,apply.c,128,use_towel,Your,1,PLAYER_CHANGE,apply/tool,literal,%s %s!,2,
apply.c:L137:pline:7,c_source,apply.c,137,use_towel,pline,1,NARRATION_PLINE,apply/tool,literal,Yecch!  Your %s %s gunk on it!,2,
apply.c:L148:You:8,c_source,apply.c,148,use_towel,You,1,PLAYER_ACTION,apply/tool,literal,push your %s %s.,2,
apply.c:L152:You:9,c_source,apply.c,152,use_towel,You,1,PLAYER_ACTION,apply/tool,literal,push your %s off.,1,
apply.c:L166:You:10,c_source,apply.c,166,use_towel,You,1,PLAYER_ACTION,apply/tool,literal,wipe off your %s.,1,
apply.c:L175:pline:11,c_source,apply.c,175,use_towel,pline,1,NARRATION_PLINE,apply/tool,literal,You've got the glop off.,0,
apply.c:L181:Your:12,c_source,apply.c,181,use_towel,Your,1,PLAYER_CHANGE,apply/tool,literal,%s feels clean now.,1,
apply.c:L186:Your:13,c_source,apply.c,186,use_towel,Your,1,PLAYER_CHANGE,apply/tool,literal,%s and %s are already clean.,2,
apply.c:L249:You_hear:14,c_source,apply.c,249,its_dead,You_hear,1,AUDIO_SE,apply/tool,literal,"a voice say, ""%s, Jim.""",1,
apply.c:L273:You:15,c_source,apply.c,273,its_dead,You,1,PLAYER_ACTION,apply/tool,literal,determine that %s unfortunate being%s %s%s dead.,4,
apply.c:L300:pline:16,c_source,apply.c,300,its_dead,pline,1,NARRATION_PLINE,apply/tool,literal,%s is in %s health for a statue.,2,
apply.c:L324:You:17,c_source,apply.c,324,use_stethoscope,You,1,PLAYER_ACTION,apply/tool,literal,have no hands!,0,
apply.c:L327:You_cant:18,c_source,apply.c,327,use_stethoscope,You_cant,1,PLAYER_CONSTRAINT,apply/tool,literal,hear anything!,0,
apply.c:L329:You:19,c_source,apply.c,329,use_stethoscope,You,1,PLAYER_ACTION,apply/tool,literal,have no free %s.,1,
apply.c:L332:getdir:20,c_source,apply.c,332,use_stethoscope,getdir,3,PROMPT_GETDIR,apply/tool,variable,(char *) 0,0,
