id,source_type,file,line,callee,caller,layer,domain,english_text,placeholders
allmain.c:L247:urgent_pline:3,c_source,allmain.c,247,urgent_pline,moveloop_core,1,allmain,The dungeon capitulates.,0
allmain.c:L436:urgent_pline:4,c_source,allmain.c,436,urgent_pline,moveloop_core,1,allmain,The Amulet is bestowing a wish upon you!,0
allmain.c:L672:You:5,c_source,allmain.c,672,You,stop_occupation,1,allmain,You stop %s.,1
allmain.c:L895:pline:7,c_source,allmain.c,895,pline,welcome,1,allmain,NetHack is filmed in front of an undead studio audience.,0
allmain.c:L940:pline:8,c_source,allmain.c,940,pline,welcome,1,allmain,"new_game ? ""%s %s, welcome to NetHack!  You are a%s.""
                   : ""%s %s, the%s, welcome back to NetHack!""",0
apply.c:L448:You_hear:32,c_source,apply.c,448,You_hear,use_stethoscope,1,apply/tool,You hear hollow_str,0
apply.c:L455:You_hear:33,c_source,apply.c,455,You_hear,use_stethoscope,1,apply/tool,You hear hollow_str,0
apply.c:L481:You:38,c_source,apply.c,481,You,use_whistle,1,apply/tool,You whistle_str,0
apply.c:L503:You:41,c_source,apply.c,503,You,use_magic_whistle,1,apply/tool,You Deaf ? alt_whistle_str : whistle_str,0
apply.c:L718:pline_mon:43,c_source,apply.c,718,pline_mon,m_unleash,1,apply/tool,mtmp,0
apply.c:L776:You_cant:45,c_source,apply.c,776,You_cant,use_leash,1,apply/tool,"You can't (!obj->leashmon
                  ? ""leash %s from inside.""
                  : (obj->leashmon == (int) u.ustuck->m_id)
                    ? ""unleash %s from inside.""
                    : ""unleash anything from inside %s."")",0
apply.c:L958:pline_mon:63,c_source,apply.c,958,pline_mon,check_leash,1,apply/tool,mtmp,0
apply.c:L1058:You:75,c_source,apply.c,1058,You,use_mirror,1,apply/tool,You look_str,0
apply.c:L1059:You:76,c_source,apply.c,1059,You,use_mirror,1,apply/tool,You look_str,0
apply.c:L1061:You:77,c_source,apply.c,1061,You,use_mirror,1,apply/tool,You look_str,0
apply.c:L1187:pline:99,c_source,apply.c,1187,pline,use_mirror,1,apply/tool,%s ignores %s reflection.,2
apply.c:L1378:You:120,c_source,apply.c,1378,You,use_candle,1,apply/tool,You no_elbow_room,0
apply.c:L1434:pline:123,c_source,apply.c,1434,pline,use_candle,1,apply/tool,%s out.,1
apply.c:L1494:pline:127,c_source,apply.c,1494,pline,snuff_lit,1,apply/tool,%s %s out!,2
apply.c:L1542:pline:128,c_source,apply.c,1542,pline,splash_lit,1,apply/tool,%s %s%s%s.,4
apply.c:L1590:pline:129,c_source,apply.c,1590,pline,catch_lit,1,apply/tool,%s %s %s,3
apply.c:L1689:You:143,c_source,apply.c,1689,You,light_cocktail,1,apply/tool,You no_elbow_room,0
apply.c:L2218:verbalize:190,c_source,apply.c,2218,verbalize,use_tinning_kit,1,apply/tool,you_buy_it,0
apply.c:L2230:verbalize:191,c_source,apply.c,2230,verbalize,use_tinning_kit,1,apply/tool,you_buy_it,0
apply.c:L2575:pline:210,c_source,apply.c,2575,pline,use_grease,1,apply/tool,%s from your %s.,2
apply.c:L2588:pline:211,c_source,apply.c,2588,pline,use_grease,1,apply/tool,%s from your %s.,2
apply.c:L2697:pline:221,c_source,apply.c,2697,pline,use_stone,1,apply/tool,scritch,0
apply.c:L2784:pline:228,c_source,apply.c,2784,pline,use_stone,1,apply/tool,scritch,0
apply.c:L3397:pline:260,c_source,apply.c,3397,pline,use_pole,1,apply/tool,not_enough_room,0
apply.c:L3414:pline:261,c_source,apply.c,3414,pline,use_pole,1,apply/tool,where_to_hit,0
apply.c:L3448:You:265,c_source,apply.c,3448,You,use_pole,1,apply/tool,You cant_see_spot,0
apply.c:L3454:You:266,c_source,apply.c,3454,You,use_pole,1,apply/tool,You cant_reach,0
apply.c:L3512:pline:269,c_source,apply.c,3512,pline,use_pole,1,apply/tool,thump,0
apply.c:L3521:pline:270,c_source,apply.c,3521,pline,use_pole,1,apply/tool,thump,0
apply.c:L3685:pline:282,c_source,apply.c,3685,pline,use_grapple,1,apply/tool,not_enough_room,0
apply.c:L3703:pline:283,c_source,apply.c,3703,pline,use_grapple,1,apply/tool,where_to_hit,0
apply.c:L3724:You:285,c_source,apply.c,3724,You,use_grapple,1,apply/tool,You cant_see_spot,0
apply.c:L3732:You:286,c_source,apply.c,3732,You,use_grapple,1,apply/tool,You cant_reach,0
apply.c:L3924:pline:296,c_source,apply.c,3924,pline,do_break_wand,1,apply/tool,nothing_else_happens,0
apply.c:L3950:pline:297,c_source,apply.c,3950,pline,do_break_wand,1,apply/tool,nothing_else_happens,0
apply.c:L4498:pline:317,c_source,apply.c,4498,pline,flip_coin,1,apply/tool,"rn2(100) ? ""Wow, a double header!""
                                   
                       : ""The coin miraculously lands on its edge!""",0
artifact.c:L502:impossible:2,c_source,artifact.c,502,impossible,artifact_origin,1,artifact,invalid artifact origin: %4o,1
artifact.c:L935:You:3,c_source,artifact.c,935,You,touch_artifact,1,artifact,You are blasted by %s power!,1
artifact.c:L954:pline:4,c_source,artifact.c,954,pline,touch_artifact,1,artifact,%s your grasp!,1
artifact.c:L955:pline:5,c_source,artifact.c,955,pline,touch_artifact,1,artifact,%s beyond your control!,1
artifact.c:L1043:impossible:6,c_source,artifact.c,1043,impossible,spec_applies,1,artifact,Weird weapon special attack.,0
artifact.c:L1284:pline_The:8,c_source,artifact.c,1284,pline_The,Mb_hit,1,artifact,The magic-absorbing blade %s %s!,2
artifact.c:L1316:You:9,c_source,artifact.c,1316,You,Mb_hit,1,artifact,You lose magical energy!,0
artifact.c:L1332:You:10,c_source,artifact.c,1332,You,Mb_hit,1,artifact,You absorb magical energy!,0
artifact.c:L1342:You:11,c_source,artifact.c,1342,You,Mb_hit,1,artifact,You release %s!,1
artifact.c:L1360:pline_The:12,c_source,artifact.c,1360,pline_The,Mb_hit,1,artifact,The %s is insightful.,1
artifact.c:L1408:pline:14,c_source,artifact.c,1408,pline,Mb_hit,1,artifact,%s %s %s%c,4
artifact.c:L1452:impossible:15,c_source,artifact.c,1452,impossible,artifact_hit,1,artifact,attacking yourself with weapon?,0
artifact.c:L1460:pline_The:16,c_source,artifact.c,1460,pline_The,artifact_hit,1,artifact,The fiery blade %s %s%c,3
artifact.c:L1482:pline_The:17,c_source,artifact.c,1482,pline_The,artifact_hit,1,artifact,The ice-cold blade %s %s%c,3
artifact.c:L1492:pline_The:18,c_source,artifact.c,1492,pline_The,artifact_hit,1,artifact,The massive hammer hits%s %s%c,3
artifact.c:L1507:pline_The:19,c_source,artifact.c,1507,pline_The,artifact_hit,1,artifact,The imaginary widget hits%s %s%c,3
artifact.c:L1533:You:20,c_source,artifact.c,1533,You,artifact_hit,1,artifact,You slice %s wide open!,1
artifact.c:L1545:You:21,c_source,artifact.c,1545,You,artifact_hit,1,artifact,You slice deeply into %s!,1
artifact.c:L1549:pline:22,c_source,artifact.c,1549,pline,artifact_hit,1,artifact,%s cuts deeply into %s!,2
artifact.c:L1554:pline:23,c_source,artifact.c,1554,pline,artifact_hit,1,artifact,%s cuts %s in half!,2
artifact.c:L1558:pline:24,c_source,artifact.c,1558,pline,artifact_hit,1,artifact,%s cuts deeply into you!,1
artifact.c:L1572:pline:25,c_source,artifact.c,1572,pline,artifact_hit,1,artifact,%s cuts you in half!,1
artifact.c:L1588:pline:26,c_source,artifact.c,1588,pline,artifact_hit,1,artifact,"Somehow, you miss %s wildly.",1
artifact.c:L1596:pline:28,c_source,artifact.c,1596,pline,artifact_hit,1,artifact,%s slices through %s %s.,3
artifact.c:L1601:pline:29,c_source,artifact.c,1601,pline,artifact_hit,1,artifact,ROLL_FROM(behead_msg),0
