"3.7.0_Index","5.0.0_Index","Name_3.7.0","Name_5.0.0"
"0","0","monster: giant ant","giant ant / male giant ant"
"1","2","monster: killer bee","killer bee / male killer bee"
"2","4","monster: soldier ant","soldier ant / male soldier ant"
"3","6","monster: fire ant","fire ant / male fire ant"
"4","8","monster: giant beetle","giant beetle / male giant beetle"
"5","10","monster: queen bee","queen bee / male queen bee"
"6","12","monster: acid blob","acid blob / male acid blob"
"7","14","monster: quivering blob","quivering blob / male quivering blob"
"8","16","monster: gelatinous cube","gelatinous cube / male gelatinous cube"
"9","18","monster: chickatrice","chickatrice / male chickatrice"
"10","20","monster: cockatrice","cockatrice / male cockatrice"
"11","22","monster: pyrolisk","pyrolisk / male pyrolisk"
"12","24","monster: jackal","jackal / male jackal"
"13","26","monster: fox","fox / male fox"
"14","28","monster: coyote","coyote / male coyote"
"15","30","monster: werejackal","werejackal / male werejackal"
"16","32","monster: little dog","little dog / male little dog"
"17","34","monster: dingo","dingo / male dingo"
"18","36","monster: dog","dog / male dog"
"19","38","monster: large dog","large dog / male large dog"
"20","40","monster: wolf","wolf / male wolf"
"21","42","monster: werewolf","werewolf / male werewolf"
"22","44","monster: winter wolf cub","winter wolf cub / male winter wolf cub"
"23","46","monster: warg","warg / male warg"
"24","48","monster: winter wolf","winter wolf / male winter wolf"
"25","50","monster: hell hound pup","hell hound pup / male hell hound pup"
"26","52","monster: hell hound","hell hound / male hell hound"
"27","","monster_cond: Cerberus",""
"28","56","monster: gas spore","gas spore / male gas spore"
"29","58","monster: floating eye","floating eye / male floating eye"
"30","60","monster: freezing sphere","freezing sphere / male freezing sphere"
"31","62","monster: flaming sphere","flaming sphere / male flaming sphere"
"32","64","monster: shocking sphere","shocking sphere / male shocking sphere"
"33","","monster_cond: beholder",""
"34","68","monster: kitten","kitten / male kitten"
"35","70","monster: housecat","housecat / male housecat"
"36","72","monster: jaguar","jaguar / male jaguar"
"37","74","monster: lynx","lynx / male lynx"
"38","76","monster: panther","panther / male panther"
"39","78","monster: large cat","large cat / male large cat"
"40","80","monster: tiger","tiger / male tiger"
"41","82","monster: displacer beast","displacer beast / male displacer beast"
"42","84","monster: gremlin","gremlin / male gremlin"
"43","86","monster: gargoyle","gargoyle / male gargoyle"
"44","88","monster: winged gargoyle","winged gargoyle / male winged gargoyle"
"45","90","monster: hobbit","hobbit / male hobbit"
"46","92","monster: dwarf","dwarf / male dwarf"
"47","94","monster: bugbear","bugbear / male bugbear"
"48","","monster: dwarf leader {dwarf lord}",""
"49","","monster: dwarf ruler {dwarf king}",""
"50","100","monster: mind flayer","mind flayer / male mind flayer"
"51","102","monster: master mind flayer","master mind flayer / male master mind flayer"
"52","104","monster: manes","manes / male manes"
"53","106","monster: homunculus","homunculus / male homunculus"
"54","108","monster: imp","imp / male imp"
"55","110","monster: lemure","lemure / male lemure"
"56","112","monster: quasit","quasit / male quasit"
"57","114","monster: tengu","tengu / male tengu"
"58","116","monster: blue jelly","blue jelly / male blue jelly"
"59","118","monster: spotted jelly","spotted jelly / male spotted jelly"
"60","120","monster: ochre jelly","ochre jelly / male ochre jelly"
"61","122","monster: kobold","kobold / male kobold"
"62","124","monster: large kobold","large kobold / male large kobold"
"63","","monster: kobold leader {kobold lord}",""
"64","128","monster: kobold shaman","kobold shaman / male kobold shaman"
"65","130","monster: leprechaun","leprechaun / male leprechaun"
"66","132","monster: small mimic","small mimic / male small mimic"
"67","134","monster: large mimic","large mimic / male large mimic"
"68","136","monster: giant mimic","giant mimic / male giant mimic"
"69","138","monster: wood nymph","wood nymph / male wood nymph"
"70","140","monster: water nymph","water nymph / male water nymph"
"71","142","monster: mountain nymph","mountain nymph / male mountain nymph"
"72","144","monster: goblin","goblin / male goblin"
"73","146","monster: hobgoblin","hobgoblin / male hobgoblin"
"74","148","monster: orc","orc / male orc"
"75","150","monster: hill orc","hill orc / male hill orc"
"76","152","monster: Mordor orc","Mordor orc / male Mordor orc"
"77","154","monster: Uruk-hai","Uruk-hai / male Uruk-hai"
"78","156","monster: orc shaman","orc shaman / male orc shaman"
"79","158","monster: orc-captain","orc-captain / male orc-captain"
